Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,4,3,3,2,1,3,4,2,55.5
1,4,2,5,2,1,2,4,4,75.0
1,4,1,5,2,1,3,6,6,92.5
1,4,4,5,2,1,2,3,4,93.0
1,4,1,3,2,1,2,5,3,93.0
1,4,3,1,4,1,2,5,5,80.0
1,4,4,1,4,1,2,4,4,50.0
0,4,0,0,0,0,1,4,4,62.0
1,4,1,5,1,1,2,4,4,96.5
0,4,2,4,2,1,2,4,4,50.0
0,4,0,0,0,0,1,3,3,55.0
1,4,3,4,2,1,3,5,4,75.0
0,4,0,0,0,0,3,5,4,86.0
1,4,3,1,2,1,3,5,4,52.0
0,4,0,0,0,0,2,4,4,85.0
1,4,4,3,1,1,4,3,4,80.0
0,4,1,3,2,1,1,2,4,62.0
1,4,3,1,1,1,2,5,5,62.0
1,4,1,1,2,1,2,3,3,40.0
0,4,2,5,4,1,2,2,4,80.0
0,4,0,0,0,0,3,4,2,75.0
0,4,1,3,2,1,3,5,4,68.0
1,4,3,3,2,1,3,2,2,88.0
1,4,1,1,3,1,2,4,4,56.0
0,4,1,3,1,1,2,3,3,67.2
0,4,0,0,0,0,4,4,4,76.0
0,4,0,0,0,0,1,4,4,70.0
1,4,3,1,3,1,2,4,2,60.0
1,4,1,4,1,1,2,5,3,42.5
1,4,1,5,2,1,2,5,4,80.0
0,4,0,0,0,0,3,4,4,97.0
0,4,0,0,0,0,2,4,4,75.0
0,4,0,0,0,0,2,4,4,92.0
1,4,4,4,2,1,3,3,3,85.0
0,4,1,5,1,1,2,6,4,90.0
0,4,2,2,1,1,1,4,3,85.0
0,4,0,0,0,0,1,3,2,70.0
1,4,2,3,2,1,2,3,1,43.0
0,4,0,0,0,0,2,5,3,85.0
1,4,1,3,3,1,2,4,4,85.0
0,4,2,5,2,1,2,3,3,65.0
0,4,2,1,3,1,2,3,3,70.0
0,4,2,3,1,1,3,4,5,75.0
1,4,1,3,2,1,2,2,3,55.0
1,4,1,1,2,1,3,5,5,68.0
1,4,4,5,4,1,4,4,4,95.0
1,4,3,5,2,1,4,5,5,95.0
1,4,0,0,0,0,2,5,4,59.69
1,4,4,3,3,1,1,5,4,85.0
1,4,4,1,3,1,2,4,3,65.0
1,4,1,3,3,1,3,4,4,45.0
0,4,0,0,0,0,2,4,5,87.5
1,4,1,5,1,1,2,3,4,88.0
1,4,4,1,4,1,2,5,3,40.0
0,4,0,0,0,0,2,5,4,77.0
1,4,2,3,2,1,3,4,4,71.0
0,4,0,0,0,0,2,4,3,75.0
0,4,0,0,0,0,4,6,6,90.0
1,4,3,3,3,1,2,3,3,65.0
1,4,1,3,2,1,2,4,3,65.0
1,5,4,1,3,1,3,5,4,100.0
0,5,2,5,2,1,4,5,3,100.0
1,5,2,4,2,1,3,4,2,100.0
1,5,2,4,3,1,4,2,4,100.0
1,5,3,4,1,1,2,4,4,90.5
0,5,0,0,0,0,3,3,4,100.0
1,5,4,1,5,1,1,4,3,80.0
1,5,2,1,2,1,2,5,3,85.0
0,5,1,5,1,1,4,6,6,100.0
0,5,1,3,1,1,3,5,3,100.0
0,5,2,3,3,1,4,4,4,100.0
1,5,2,5,3,1,3,4,3,85.0
1,5,3,4,1,1,4,4,4,90.0
1,5,0,0,0,0,3,4,5,85.0
1,5,4,1,4,1,3,4,4,100.0
0,5,4,2,3,1,4,5,3,80.0
0,5,0,0,0,0,4,4,4,90.0
0,5,3,3,2,1,2,3,3,100.0
0,5,1,2,1,1,3,4,4,96.5
0,5,2,4,3,1,3,4,4,85.0
0,5,0,0,0,0,2,5,4,100.0
0,5,0,0,0,0,2,4,4,100.0
1,5,0,0,0,0,3,6,5,98.0
0,5,3,5,2,1,4,6,5,100.0
1,5,3,1,4,1,2,4,3,92.0
1,5,4,4,2,1,2,5,4,90.0
0,5,3,3,1,1,3,4,4,85.0
0,5,1,5,2,1,4,5,4,85.0
0,5,0,0,0,0,2,5,4,100.0
1,5,1,3,2,1,2,5,5,72.5
1,5,3,3,2,1,4,4,4,85.0
0,6,1,5,2,1,4,4,4,100.0
1,6,2,1,2,1,4,5,5,100.0
1,6,1,4,1,1,4,2,2,100.0
1,6,4,5,5,1,4,3,3,85.0
1,6,0,0,0,0,3,2,4,100.0
0,6,2,3,1,1,2,3,3,75.0
1,6,2,5,2,1,4,2,2,100.0
1,6,3,5,3,1,4,0,6,100.0
1,6,4,1,4,1,1,4,4,100.0
0,6,0,0,0,0,3,4,5,100.0
1,6,4,3,3,1,4,6,4,100.0
1,6,3,2,3,1,3,6,6,100.0
1,6,4,5,5,1,4,4,4,70.0
1,6,3,5,2,1,3,6,5,100.0
1,6,0,0,0,0,3,5,3,100.0
0,6,0,0,0,0,3,5,4,100.0
1,6,3,2,2,1,4,6,6,100.0
1,6,1,5,2,1,4,6,5,100.0
1,6,3,1,3,1,3,5,5,100.0
0,6,0,0,0,0,4,6,5,90.0
1,6,3,5,2,1,2,4,4,100.0
0,7,0,0,0,0,0,4,4,95.0
1,7,1,2,1,1,0,5,3,100.0
0,7,3,2,1,1,0,5,5,100.0
0,7,3,2,2,1,0,4,3,85.0
1,7,2,5,1,1,0,4,5,90.0
0,7,0,0,0,0,0,4,4,100.0
0,7,0,0,0,0,0,5,4,90.0
1,7,0,0,0,0,0,5,5,100.0
1,7,1,5,1,1,0,5,5,100.0
1,7,1,5,1,1,0,4,4,86.0
0,7,3,2,1,1,0,5,5,90.0
1,7,3,5,3,1,0,3,3,90.0
1,7,3,5,1,1,0,5,5,100.0
1,7,3,4,3,1,0,5,5,100.0
0,7,1,2,2,1,0,4,4,95.0
1,7,2,2,1,1,0,5,5,100.0
1,7,3,2,3,1,0,3,3,100.0
0,7,0,0,0,0,0,5,4,100.0
0,7,0,0,0,0,0,6,6,100.0
0,7,2,5,3,1,0,4,5,100.0
1,7,1,4,1,1,0,6,6,100.0
1,7,2,3,2,1,0,5,4,90.0
1,7,2,4,3,1,0,5,5,100.0
1,7,2,3,3,1,0,4,2,85.0
1,7,1,4,1,1,0,5,5,100.0
0,7,0,0,0,0,0,4,4,100.0
1,7,1,5,1,1,0,3,2,100.0
0,7,0,0,0,0,0,5,6,100.0
0,7,0,0,0,0,0,5,5,100.0
1,7,0,0,0,0,0,4,3,95.0
1,7,4,5,3,1,0,4,4,100.0
1,7,1,3,1,1,0,2,2,100.0
0,7,4,5,1,1,0,5,5,100.0
1,7,0,0,0,0,0,4,5,98.0
1,7,1,5,1,1,0,4,4,97.0
0,7,0,0,0,0,0,5,5,100.0
1,7,1,4,2,1,0,4,4,100.0
0,7,0,0,0,0,0,6,6,100.0
0,7,0,0,0,0,0,5,5,90.0
1,7,4,5,3,1,0,4,4,97.0
0,7,0,0,0,0,0,5,3,97.0
1,8,0,0,0,0,1,3,3,75.0
1,8,1,1,1,1,2,4,3,65.0
0,8,1,5,1,1,1,4,2,56.0
1,8,3,4,3,1,2,3,2,50.0
1,8,3,2,2,1,3,3,3,72.0
0,8,2,5,2,1,2,4,3,87.0
1,8,0,0,0,0,3,4,4,67.5
0,8,0,0,0,0,3,4,4,80.0
0,8,0,0,0,0,2,2,2,80.0
1,8,1,3,1,1,2,5,3,85.0
0,8,0,0,0,0,2,2,2,95.0
1,8,1,4,2,1,1,3,1,60.0
1,8,0,0,0,0,1,3,3,90.0
0,8,0,0,0,0,2,4,4,100.0
0,8,4,1,1,1,1,4,4,90.0
0,8,0,0,0,0,2,4,4,75.0
1,8,0,0,0,0,3,3,4,87.5
0,8,2,4,2,1,2,4,3,95.0
0,8,0,0,0,0,1,4,2,87.5
0,8,0,0,0,0,1,3,2,90.0
0,8,0,0,0,0,1,5,2,90.0
0,8,0,0,0,0,1,4,4,83.0
1,8,3,3,3,1,2,4,2,85.0
1,8,0,0,0,0,2,4,2,77.5
1,8,2,3,2,1,2,2,2,65.0
1,8,0,0,0,0,2,5,3,95.0
1,8,1,3,1,1,1,3,3,75.0
1,8,2,2,2,1,3,4,2,75.0
0,8,0,0,0,0,2,3,2,95.0
1,8,2,3,1,1,2,3,5,82.5
1,8,2,4,1,1,2,2,3,60.0
1,8,2,5,4,2,1,3,2,40.0
0,8,0,0,0,0,2,4,4,65.0
1,8,3,5,1,1,2,4,4,78.0
0,8,2,4,3,1,2,4,4,75.0
0,8,0,0,0,0,2,4,2,85.5
0,8,2,3,1,1,2,4,4,70.0
1,8,4,3,3,1,2,4,2,80.0
0,8,2,3,3,1,2,2,2,65.0
1,8,1,4,2,1,3,4,2,67.0
1,8,2,2,2,1,3,5,5,50.0
1,8,1,2,2,1,1,3,2,50.0
1,8,2,5,1,1,1,2,2,33.0
1,8,1,4,1,1,1,5,3,90.0
1,8,3,5,2,1,1,4,2,85.3
0,8,1,1,1,1,2,4,2,52.0
0,8,0,0,0,0,2,4,3,53.0
0,8,1,4,1,1,2,4,4,70.0
0,8,0,0,0,0,2,4,4,70.5
1,8,1,4,2,1,2,4,3,70.0
